 rhizoctonia-root-rot, diaporthe-stem-canker
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, charcoal-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, charcoal-rot
 brown-stem-rot, charcoal-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 powdery-mildew, brown-stem-rot
 powdery-mildew, powdery-mildew
 powdery-mildew, brown-stem-rot
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 downy-mildew, powdery-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 brown-spot, downy-mildew
 brown-spot, downy-mildew
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 bacterial-blight, brown-spot
 bacterial-blight, brown-spot
 bacterial-blight, brown-spot
 bacterial-blight, brown-spot
 bacterial-blight, bacterial-blight
 bacterial-blight, brown-spot
 bacterial-blight, bacterial-blight
 bacterial-blight, bacterial-blight
 bacterial-blight, bacterial-blight
 bacterial-blight, brown-spot
 bacterial-pustule, bacterial-blight
 bacterial-pustule, bacterial-blight
 bacterial-pustule, bacterial-blight
 bacterial-pustule, bacterial-blight
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 purple-seed-stain, brown-stem-rot
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, powdery-mildew
 purple-seed-stain, bacterial-blight
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 anthracnose, brown-stem-rot
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, diaporthe-stem-canker
 anthracnose, anthracnose
 anthracnose, diaporthe-stem-canker
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 phyllosticta-leaf-spot, brown-spot
 phyllosticta-leaf-spot, bacterial-blight
 phyllosticta-leaf-spot, brown-spot
 phyllosticta-leaf-spot, brown-spot
 phyllosticta-leaf-spot, bacterial-blight
 phyllosticta-leaf-spot, brown-spot
 phyllosticta-leaf-spot, brown-spot
 phyllosticta-leaf-spot, brown-spot
 phyllosticta-leaf-spot, brown-spot
 phyllosticta-leaf-spot, brown-spot
 alternarialeaf-spot, brown-spot
 alternarialeaf-spot, brown-spot
 alternarialeaf-spot, brown-spot
 alternarialeaf-spot, brown-spot
 alternarialeaf-spot, phyllosticta-leaf-spot
 alternarialeaf-spot, brown-spot
 alternarialeaf-spot, brown-spot
 alternarialeaf-spot, brown-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, brown-spot
 alternarialeaf-spot, brown-spot
 alternarialeaf-spot, brown-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, brown-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, anthracnose
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, brown-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, brown-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 diaporthe-pod-&-stem-blight, anthracnose
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 cyst-nematode, diaporthe-pod-&-stem-blight
 cyst-nematode, cyst-nematode
 cyst-nematode, cyst-nematode
 cyst-nematode, cyst-nematode
 cyst-nematode, cyst-nematode
 cyst-nematode, cyst-nematode
 2-4-d-injury, cyst-nematode
 herbicide-injury, 2-4-d-injury
 herbicide-injury, herbicide-injury
 herbicide-injury, herbicide-injury
 herbicide-injury, herbicide-injury
 diaporthe-stem-canker, diaporthe-stem-canker
 diaporthe-stem-canker, diaporthe-stem-canker
 diaporthe-stem-canker, diaporthe-stem-canker
 diaporthe-stem-canker, diaporthe-stem-canker
 diaporthe-stem-canker, diaporthe-stem-canker
 diaporthe-stem-canker, diaporthe-stem-canker
 diaporthe-stem-canker, diaporthe-stem-canker
 diaporthe-stem-canker, diaporthe-stem-canker
 diaporthe-stem-canker, diaporthe-stem-canker
 diaporthe-stem-canker, diaporthe-stem-canker
 charcoal-rot, charcoal-rot
 charcoal-rot, charcoal-rot
 charcoal-rot, charcoal-rot
 charcoal-rot, charcoal-rot
 charcoal-rot, charcoal-rot
 charcoal-rot, charcoal-rot
 charcoal-rot, charcoal-rot
 charcoal-rot, charcoal-rot
 charcoal-rot, charcoal-rot
 charcoal-rot, charcoal-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 brown-stem-rot, brown-stem-rot
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 powdery-mildew, powdery-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 downy-mildew, downy-mildew
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, frog-eye-leaf-spot
 brown-spot, alternarialeaf-spot
 brown-spot, alternarialeaf-spot
 brown-spot, brown-spot
 brown-spot, frog-eye-leaf-spot
 brown-spot, frog-eye-leaf-spot
 brown-spot, brown-spot
 brown-spot, alternarialeaf-spot
 brown-spot, alternarialeaf-spot
 brown-spot, brown-spot
 brown-spot, alternarialeaf-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 brown-spot, brown-spot
 bacterial-blight, bacterial-blight
 bacterial-blight, bacterial-blight
 bacterial-blight, bacterial-blight
 bacterial-blight, bacterial-blight
 bacterial-blight, brown-spot
 bacterial-blight, bacterial-blight
 bacterial-blight, bacterial-blight
 bacterial-blight, bacterial-blight
 bacterial-blight, bacterial-blight
 bacterial-blight, bacterial-blight
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-blight
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 bacterial-pustule, bacterial-pustule
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 purple-seed-stain, purple-seed-stain
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 anthracnose, anthracnose
 phyllosticta-leaf-spot, phyllosticta-leaf-spot
 phyllosticta-leaf-spot, phyllosticta-leaf-spot
 phyllosticta-leaf-spot, brown-spot
 phyllosticta-leaf-spot, brown-spot
 phyllosticta-leaf-spot, phyllosticta-leaf-spot
 phyllosticta-leaf-spot, phyllosticta-leaf-spot
 phyllosticta-leaf-spot, phyllosticta-leaf-spot
 phyllosticta-leaf-spot, phyllosticta-leaf-spot
 phyllosticta-leaf-spot, phyllosticta-leaf-spot
 phyllosticta-leaf-spot, phyllosticta-leaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 alternarialeaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, brown-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, brown-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, alternarialeaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 frog-eye-leaf-spot, frog-eye-leaf-spot
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 diaporthe-pod-&-stem-blight, diaporthe-pod-&-stem-blight
 cyst-nematode, cyst-nematode
 cyst-nematode, cyst-nematode
 cyst-nematode, cyst-nematode
 cyst-nematode, cyst-nematode
 cyst-nematode, cyst-nematode
 cyst-nematode, cyst-nematode
 cyst-nematode, cyst-nematode
 cyst-nematode, cyst-nematode
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 2-4-d-injury, 2-4-d-injury
 herbicide-injury, herbicide-injury
 herbicide-injury, herbicide-injury
 herbicide-injury, herbicide-injury
 herbicide-injury, herbicide-injury

wait=20, Accuracy: 554/663 = 83.56%
